"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"ACR26697","267","Swine","HA","H1N1","USA","N","2005","Influenza A virus (A/swine/Texas/36440-2/2005(H1N1))","","","","","","p"
"AEN94876","565","Swine","HA","H1N1","USA","N","2005","Influenza A virus (A/swine/North Carolina/38448-1/2005(H1N1))","","","","","","c"
"ABI19015","566","Human","HA","H1N1","USA","N","2005","Influenza A virus (A/Iowa/CEID23/2005(H1N1))","","","","","","c"
"ACM17276","565","Swine","HA","H1N1","USA","N","2005","Influenza A virus (A/swine/IL/00685/2005(H1N1))","","","","","","c"
"ACM17265","565","Swine","HA","H1N1","USA","N","2005","Influenza A virus (A/swine/NC/00573/2005(H1N1))","","","","","","c"
"AEI85288","258","Swine","HA","H1N1","USA","N","2005/01/04","Influenza A virus (A/swine/North Carolina/00463/2005(H1N1))","","","","","","p"
"AEI85289","300","Swine","HA","H1N1","USA","N","2005/01/04","Influenza A virus (A/swine/Minnesota/00465/2005(H1N1))","","","","","",""
"AEI85290","299","Swine","HA","H1N1","USA","N","2005/01/05","Influenza A virus (A/swine/Illinois/00466/2005(H1N1))","","","","","","p"
"ABI96128","343","Human","HA","H1N1","USA","N","2005/01/12","Influenza A virus (A/Idaho/1/2005(H1N1))","","","","","","p"
"AJK01936","343","Human","HA","H1N1","USA","N","2005/01/12","Influenza A virus (A/Idaho/1/2005(H1N1))","","","","","","p"
"ABI96134","343","Human","HA","H1N1","USA","N","2005/01/13","Influenza A virus (A/Virginia/4/2005(H1N1))","","","","","","p"
"AEI85296","297","Swine","HA","H1N1","USA","N","2005/01/18","Influenza A virus (A/swine/North Carolina/00482/2005(H1N1))","","","","","","p"
"ABI96135","343","Human","HA","H1N1","USA","N","2005/01/19","Influenza A virus (A/Kentucky/1/2005(H1N1))","","","","","","p"
"AEI85297","295","Swine","HA","H1N1","USA","N","2005/01/21","Influenza A virus (A/swine/North Carolina/00485/2005(H1N1))","","","","","","p"
"AEI85299","295","Swine","HA","H1N1","USA","N","2005/01/27","Influenza A virus (A/swine/North Carolina/00489/2005(H1N1))","","","","","","p"
